category,title,local,date,link
Gastronomia,CURSO DE HAMBÚRGUER ARTESANAL,"CEASA Centrais de Abastecimento de Minas Gerais - Contagem, MG","Quarta, 12 de Fev às 08:00",https://www.sympla.com.br/evento/curso-de-hamburguer-artesanal/2806118
Gastronomia,Premium Tasting - Wine Education,"WTC - World Trade Center São Paulo - São Paulo, SP","Quinta, 24 de Abr às 19:00",https://www.sympla.com.br/evento/premium-tasting-wine-education/2745576
Gastronomia,"Salada de Bacalhau, Paleta de cordeiro e Chico balanceado.","Zona Sul Ipanema - Rio de Janeiro, RJ","Terça, 28 de Jan às 19:00",https://www.sympla.com.br/evento/salada-de-bacalhau-paleta-de-cordeiro-e-chico-balanceado/2779351
Gastronomia,Encontro de Vinhos Campinas - Abril,"Tênis Clube de Campinas - Sede Cambuí - Campinas, SP","Sábado, 12 de Abr às 12:00",https://www.sympla.com.br/evento/encontro-de-vinhos-campinas-abril/2786848
Gastronomia,Introdução ao mundo dos drinks - coquetelaria para iniciantes (4/fevereiro),"Onze Zero Um - Porto Alegre, RS","Terça, 04 de Fev às 19:30",https://www.sympla.com.br/evento/introducao-ao-mundo-dos-drinks-coquetelaria-para-iniciantes-4-fevereiro/2771395
Gastronomia,"Jantar às Cegas - Sabores, Sensações e Sentidos","Espaço Jantar às Cegas - São Paulo, SP","Sábado, 22 de Fev às 19:00",https://www.sympla.com.br/evento/jantar-as-cegas-sabores-sensacoes-e-sentidos/2733105
Gastronomia,Sabores Asiáticos,"Zona Sul Santa Monica - Rio de Janeiro, RJ","Quinta, 20 de Fev às 19:00",https://www.sympla.com.br/evento/sabores-asiaticos/2804743
Gastronomia,Sabores de Verão,"Zona Sul Supermercado Ipanema - Rio de Janeiro, RJ","Quarta, 19 de Fev às 19:00",https://www.sympla.com.br/evento/sabores-de-verao/2804719
Gastronomia,CURSO DE ROCAMBOLE GOURMET   ,"CEASA Centrais de Abastecimento de Minas Gerais - Contagem, MG","Quarta, 29 de Jan às 08:00",https://www.sympla.com.br/evento/curso-de-rocambole-gourmet/2780837
Gastronomia,CURSO DE FAÇA E VENDA SLICE,"CEASA Centrais de Abastecimento de Minas Gerais - Contagem, MG","Terça, 28 de Jan às 08:00",https://www.sympla.com.br/evento/curso-de-faca-e-venda-slice/2780832
